0D 72 45 72 D2 7E AB 7C A4 8B 01 91 7E 9B 86 97 7D A5 80 A8 1A B2 93 BD F6 80 
0C 72 44 71 D2 7D AF 7B A4 8B 02 90 7D 9B 8B 96 7D A4 81 A7 15 B1 96 BC F6 80 
1B 73 55 73 E4 7E C3 7D BE 8D 16 92 99 9D A3 98 9A A6 9F AA 39 B4 B5 BE F6 80 
1D 73 59 73 E5 7E C4 7D BB 8C 16 92 99 9D 9F 98 99 A6 9B A9 3A B3 B2 BF F6 80 
2B 74 64 74 F3 7F D5 7E CD 8E 2A 93 AA 9E B7 99 B0 A8 B4 AB 50 B5 B2 C0 F6 80 
2D 74 65 74 F4 7F D4 7E CB 8E 2B 93 AB 9E B6 9A AE A7 B5 AB 4E B5 B2 C0 F6 80 
3D 76 7A 76 1C 81 D4 80 CB 90 3F 95 AB A0 D3 9C CA AA D2 AD 6E B7 00 C2 F6 80 
3D 76 7D 76 1F 81 D4 80 CB 90 47 96 AB A0 D7 9C D2 AA D8 AD 71 B8 00 C2 F6 80 
4C 76 88 76 2D 82 D4 80 02 90 51 96 AB A1 E7 9D DD AB E6 AE 83 B9 06 C4 F6 80 
3E 75 7F 75 21 80 EF 7F E7 8F 48 95 AB A0 D5 9B CE A9 D8 AD 74 B7 01 C2 FB 7F 
52 77 90 77 34 83 EF 82 10 92 66 97 AB A2 F5 9E F2 AC 0C B0 96 BA 1D C5 FB 80 
52 76 95 77 38 82 EF 81 13 91 65 97 AB A2 F8 9D F5 AC FF AF 97 BA 21 C5 F8 7F 
69 78 A8 78 4F 83 0D 82 29 92 80 99 0D A4 3C A0 F5 AE 2E B2 BB BC 43 C7 FA 7F 
67 77 A8 78 4D 84 0C 83 26 93 82 99 0C A4 3C 9F F5 AE 2C B2 B7 BC 42 C7 F7 7F 
